trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
12905807,20:33:10,20:33:10,73,24,,0,0,8.6831
12905807,20:33:59,20:33:59,75,25,,0,0,8.9441
12905807,20:34:54,20:34:54,11881,26,,0,0,9.2361
12905807,20:35:41,20:35:41,12603,27,,0,0,9.4858
12905807,20:36:17,20:36:17,30,28,,0,0,9.6796
12905807,20:37:00,20:37:00,31,29,,0,0,9.8494
12905807,20:07:48,20:07:48,379,3,,0,0,0.578
12905807,20:41:00,20:41:00,9069,30,,1,0,10.8227
12905807,20:08:55,20:08:55,12663,4,,0,0,0.9331
12905807,20:10:46,20:10:46,1269,5,,0,0,1.5221
12905807,20:12:02,20:12:02,1271,6,,0,0,1.9271
12905807,20:13:23,20:13:23,1273,7,,0,0,2.3591
12905807,20:14:52,20:14:52,1275,8,,0,0,2.8334
12905807,20:16:21,20:16:21,1276,9,,0,0,3.3083
12905808,20:04:00,20:04:00,55,1,,0,0,
12905808,20:13:43,20:13:43,10542,10,,0,0,2.4674
12905808,20:15:06,20:15:06,69,11,,0,0,2.8195
12905808,20:15:46,20:15:46,70,12,,0,0,2.9916
12905808,20:17:11,20:17:11,72,13,,0,0,3.3497
12905808,20:22:15,20:22:15,73,14,,0,0,4.6264
12905808,20:23:17,20:23:17,75,15,,0,0,4.8874
12905808,20:24:26,20:24:26,11881,16,,0,0,5.1794
12905808,20:25:25,20:25:25,12603,17,,0,0,5.4291
12905808,20:26:11,20:26:11,30,18,,0,0,5.6229
12905808,20:27:00,20:27:00,31,19,,0,0,5.7926
12905808,20:05:13,20:05:13,56,2,,0,0,0.3092
12905808,20:31:00,20:31:00,9069,20,,1,0,6.7659
12905808,20:06:11,20:06:11,12619,3,,0,0,0.5532
12905808,20:06:49,20:06:49,58,4,,0,0,0.7143
12905808,20:07:58,20:07:58,60,5,,0,0,1.0071
12905808,20:08:41,20:08:41,61,6,,0,0,1.1881
12905808,20:09:49,20:09:49,63,7,,0,0,1.4773
12905808,20:10:32,20:10:32,64,8,,0,0,1.6603
12905808,20:12:23,20:12:23,12040,9,,0,0,2.1283
12905809,19:43:00,19:43:00,646,1,,0,0,
12905809,19:54:42,19:54:42,1277,10,,0,0,3.4113
12905809,19:56:04,19:56:04,1279,11,,0,0,3.8103
12905809,19:57:59,19:57:59,56,12,,0,0,4.3659
12905809,19:58:49,19:58:49,12619,13,,0,0,4.61
12905809,19:59:22,19:59:22,58,14,,0,0,4.771
12905809,20:00:22,20:00:22,60,15,,0,0,5.0638
12905809,20:00:59,20:00:59,61,16,,0,0,5.2448
12905809,20:01:58,20:01:58,63,17,,0,0,5.534
12905809,20:02:35,20:02:35,64,18,,0,0,5.7171
12905809,20:04:11,20:04:11,12040,19,,0,0,6.1851
12905809,19:44:08,19:44:08,378,2,,0,0,0.33
12905809,20:05:21,20:05:21,10542,20,,0,0,6.5242
12905809,20:06:33,20:06:33,69,21,,0,0,6.8763
12905809,20:07:08,20:07:08,70,22,,0,0,7.0484
12905809,20:08:22,20:08:22,72,23,,0,0,7.4065
12905809,20:12:46,20:12:46,73,24,,0,0,8.6831
12905809,20:13:40,20:13:40,75,25,,0,0,8.9441
12905809,20:14:40,20:14:40,11881,26,,0,0,9.2361
12905809,20:15:31,20:15:31,12603,27,,0,0,9.4858
12905809,20:16:11,20:16:11,30,28,,0,0,9.6796
12905809,20:17:00,20:17:00,31,29,,0,0,9.8494
12905809,19:44:59,19:44:59,379,3,,0,0,0.578
12905809,20:21:00,20:21:00,9069,30,,1,0,10.8227
12905809,19:46:12,19:46:12,12663,4,,0,0,0.9331
12905809,19:48:13,19:48:13,1269,5,,0,0,1.5221
12905809,19:49:36,19:49:36,1271,6,,0,0,1.9271
12905809,19:51:05,19:51:05,1273,7,,0,0,2.3591
12905809,19:52:43,19:52:43,1275,8,,0,0,2.8334
12905809,19:54:21,19:54:21,1276,9,,0,0,3.3083
12905810,19:44:00,19:44:00,55,1,,0,0,
12905810,19:53:43,19:53:43,10542,10,,0,0,2.4674
12905810,19:55:06,19:55:06,69,11,,0,0,2.8195
12905810,19:55:46,19:55:46,70,12,,0,0,2.9916
12905810,19:57:11,19:57:11,72,13,,0,0,3.3497
12905810,20:02:15,20:02:15,73,14,,0,0,4.6264
12905810,20:03:17,20:03:17,75,15,,0,0,4.8874
12905810,20:04:26,20:04:26,11881,16,,0,0,5.1794
12905810,20:05:25,20:05:25,12603,17,,0,0,5.4291
12905810,20:06:11,20:06:11,30,18,,0,0,5.6229
12905810,20:07:00,20:07:00,31,19,,0,0,5.7926
12905810,19:45:13,19:45:13,56,2,,0,0,0.3092
12905810,20:11:00,20:11:00,9069,20,,1,0,6.7659
12905810,19:46:11,19:46:11,12619,3,,0,0,0.5532
12905810,19:46:49,19:46:49,58,4,,0,0,0.7143
12905810,19:47:58,19:47:58,60,5,,0,0,1.0071
12905810,19:48:41,19:48:41,61,6,,0,0,1.1881
12905810,19:49:49,19:49:49,63,7,,0,0,1.4773
12905810,19:50:32,19:50:32,64,8,,0,0,1.6603
12905810,19:52:23,19:52:23,12040,9,,0,0,2.1283
12905811,19:24:00,19:24:00,55,1,,0,0,
12905811,19:33:43,19:33:43,10542,10,,0,0,2.4674
12905811,19:35:06,19:35:06,69,11,,0,0,2.8195
12905811,19:35:46,19:35:46,70,12,,0,0,2.9916
12905811,19:37:11,19:37:11,72,13,,0,0,3.3497
12905811,19:42:15,19:42:15,73,14,,0,0,4.6264
12905811,19:43:17,19:43:17,75,15,,0,0,4.8874
12905811,19:44:26,19:44:26,11881,16,,0,0,5.1794
12905811,19:45:25,19:45:25,12603,17,,0,0,5.4291
12905811,19:46:11,19:46:11,30,18,,0,0,5.6229
12905811,19:47:00,19:47:00,31,19,,0,0,5.7926
12905811,19:25:13,19:25:13,56,2,,0,0,0.3092
12905811,19:51:00,19:51:00,9069,20,,1,0,6.7659
12905811,19:26:11,19:26:11,12619,3,,0,0,0.5532
12905811,19:26:49,19:26:49,58,4,,0,0,0.7143
12905811,19:27:58,19:27:58,60,5,,0,0,1.0071
12905811,19:28:41,19:28:41,61,6,,0,0,1.1881
12905811,19:29:49,19:29:49,63,7,,0,0,1.4773
12905811,19:30:32,19:30:32,64,8,,0,0,1.6603
12905811,19:32:23,19:32:23,12040,9,,0,0,2.1283
12905812,19:03:00,19:03:00,646,1,,0,0,
12905812,19:14:42,19:14:42,1277,10,,0,0,3.4113
12905812,19:16:04,19:16:04,1279,11,,0,0,3.8103
12905812,19:17:59,19:17:59,56,12,,0,0,4.3659
12905812,19:18:49,19:18:49,12619,13,,0,0,4.61
12905812,19:19:22,19:19:22,58,14,,0,0,4.771
12905812,19:20:22,19:20:22,60,15,,0,0,5.0638
12905812,19:20:59,19:20:59,61,16,,0,0,5.2448
12905812,19:21:58,19:21:58,63,17,,0,0,5.534
12905812,19:22:35,19:22:35,64,18,,0,0,5.7171
12905812,19:24:11,19:24:11,12040,19,,0,0,6.1851
12905812,19:04:08,19:04:08,378,2,,0,0,0.33
12905812,19:25:21,19:25:21,10542,20,,0,0,6.5242
12905812,19:26:33,19:26:33,69,21,,0,0,6.8763
12905812,19:27:08,19:27:08,70,22,,0,0,7.0484
12905812,19:28:22,19:28:22,72,23,,0,0,7.4065
12905812,19:32:46,19:32:46,73,24,,0,0,8.6831
12905812,19:33:40,19:33:40,75,25,,0,0,8.9441
12905812,19:34:40,19:34:40,11881,26,,0,0,9.2361
12905812,19:35:31,19:35:31,12603,27,,0,0,9.4858
12905812,19:36:11,19:36:11,30,28,,0,0,9.6796
12905812,19:37:00,19:37:00,31,29,,0,0,9.8494
12905812,19:04:59,19:04:59,379,3,,0,0,0.578
12905812,19:41:00,19:41:00,9069,30,,1,0,10.8227
12905812,19:06:12,19:06:12,12663,4,,0,0,0.9331
12905812,19:08:13,19:08:13,1269,5,,0,0,1.5221
12905812,19:09:36,19:09:36,1271,6,,0,0,1.9271
12905812,19:11:05,19:11:05,1273,7,,0,0,2.3591
12905812,19:12:43,19:12:43,1275,8,,0,0,2.8334
12905812,19:14:21,19:14:21,1276,9,,0,0,3.3083
12905813, 7:25:00, 7:25:00,646,1,,0,0,
12905813, 7:36:42, 7:36:42,1277,10,,0,0,3.4113
